experiment,monte carlo,rows,runtime
satellites_monte-carlo-1-000-000_rows_20,1000000,20,79033
satellites_monte-carlo-1-000-000_rows_70,1000000,70,3571711
satellites_monte-carlo-1-000_rows_120,1000,120,11162
satellites_monte-carlo-1-000_rows_30,1000,30,704
satellites_monte-carlo-100-000_rows_50,100000,50,162806
satellites_monte-carlo-1-000-000_rows_90,1000000,90,4868392
satellites_monte-carlo-1-000_rows_140,1000,140,15608
satellites_monte-carlo-100-000_rows_70,100000,70,375858
satellites_monte-carlo-1-000-000_rows_110,1000000,110,8064871
satellites_monte-carlo-100-000_rows_90,100000,90,508168
satellites_monte-carlo-1-000-000_rows_130,1000000,130,12279113
satellites_monte-carlo-100-000_rows_110,100000,110,837151
satellites_monte-carlo-1-000-000_rows_150,1000000,150,16051404
satellites_monte-carlo-10-000_rows_50,10000,50,16408
satellites_monte-carlo-100-000_rows_130,100000,130,1236162
satellites_monte-carlo-10-000_rows_70,10000,70,38016
satellites_monte-carlo-100-000_rows_150,100000,150,1646795
satellites_monte-carlo-10-000_rows_90,10000,90,50956
satellites_monte-carlo-1-000_rows_40,1000,40,1452
satellites_monte-carlo-1-000_rows_70,1000,70,4074
satellites_monte-carlo-100-000_rows_40,100000,40,82621
satellites_monte-carlo-10-000_rows_110,10000,110,85584
satellites_monte-carlo-10-000_rows_140,10000,140,147084
satellites_monte-carlo-1-000_rows_90,1000,90,6434
satellites_monte-carlo-10-000_rows_130,10000,130,123857
satellites_monte-carlo-1-000-000_rows_60,1000000,60,2520854
satellites_monte-carlo-1-000_rows_110,1000,110,9628
satellites_monte-carlo-1-000-000_rows_40,1000000,40,793421
satellites_monte-carlo-10-000_rows_150,10000,150,166702
satellites_monte-carlo-1-000-000_rows_80,1000000,80,4087810
satellites_monte-carlo-1-000-000_rows_10,1000000,10,45160
satellites_monte-carlo-1-000_rows_130,1000,130,13462
satellites_monte-carlo-1-000-000_rows_100,1000000,100,6526266
satellites_monte-carlo-10-000_rows_30,10000,30,3750
satellites_monte-carlo-100-000_rows_60,100000,60,262438
satellites_monte-carlo-1-000_rows_10,1000,10,316
satellites_monte-carlo-1-000_rows_150,1000,150,18032
satellites_monte-carlo-100-000_rows_80,100000,80,427638
satellites_monte-carlo-1-000-000_rows_30,1000000,30,322165
satellites_monte-carlo-100-000_rows_30,100000,30,31653
satellites_monte-carlo-1-000_rows_20,1000,20,378
satellites_monte-carlo-1-000-000_rows_120,1000000,120,10354903
satellites_monte-carlo-100-000_rows_100,100000,100,656045
satellites_monte-carlo-1-000_rows_50,1000,50,2058
satellites_monte-carlo-1-000-000_rows_140,1000000,140,14004808
satellites_monte-carlo-100-000_rows_120,100000,120,1057518
satellites_monte-carlo-100-000_rows_10,100000,10,5209
satellites_monte-carlo-10-000_rows_60,10000,60,26640
satellites_monte-carlo-100-000_rows_140,100000,140,1454381
satellites_monte-carlo-10-000_rows_80,10000,80,44187
satellites_monte-carlo-10-000_rows_40,10000,40,9082
satellites_monte-carlo-10-000_rows_20,10000,20,1387
satellites_monte-carlo-1-000_rows_60,1000,60,2995
satellites_monte-carlo-10-000_rows_100,10000,100,71881
satellites_monte-carlo-10-000_rows_10,10000,10,905
satellites_monte-carlo-1-000_rows_80,1000,80,5032
satellites_monte-carlo-10-000_rows_120,10000,120,107281
satellites_monte-carlo-1-000-000_rows_50,1000000,50,1565072
satellites_monte-carlo-100-000_rows_20,100000,20,8610
satellites_monte-carlo-1-000_rows_100,1000,100,7668
