XXXIX,Bestla,3.5,"1,088.72 (r)",2004,"S., J., K., M.",Retrograde irregular (Norse),Saturn,...
XL,Farbauti,2.5,"1,085.55 (r)",2004,"S., J., K., M.",Retrograde irregular (Norse),Saturn,...
XLI,Fenrir,2,"1,260.35 (r)",2004,"S., J., K., M.",Retrograde irregular (Norse),Saturn,...
XLII,Fornjot,3,"1,494.2 (r)",2004,"S., J., K., M.",Retrograde irregular (Norse),Saturn,...
XLIII,Hati,3,"1,038.61 (r)",2004,"S., J., K., M.",Retrograde irregular (Norse),Saturn,...
XLIV,Hyrrokkin,4,931.86 (r),2006,"S., J., K.",Retrograde irregular (Norse),Saturn,...
XLV,Kari,3.5,"1,230.97 (r)",2006,"S., J., K.",Retrograde irregular (Norse),Saturn,...
XLVI,Loge,3,"1,311.36 (r)",2006,"S., J., K.",Retrograde irregular (Norse),Saturn,...
XLVII,Skoll,3,878.29 (r),2006,"S., J., K.",Retrograde irregular (Norse),Saturn,...
XLVIII,Surtur,3,"1,297.36 (r)",2006,"S., J., K.",Retrograde irregular (Norse),Saturn,...
XLIX,Anthe,1,1.0365,2007,Porco et al.,Alkyonide moon,Saturn,...
L,Jarnsaxa,3,964.74 (r),2006,"S., J., K.",Retrograde irregular (Norse),Saturn,...
LI,Greip,3,921.19 (r),2006,"S., J., K.",Retrograde irregular (Norse),Saturn,...
LII,Tarqeq,3.5,887.48,2007,"S., J., K.",Prograde irregular (Inuit),Saturn,...
LIII,Aegaeon,0.25,0.808,2008,C.–H.,G-ring moonlet,Saturn,...
—,S/2004 S 7,3,"1,140.24 (r)",2004,"S., J., K., M.",Retrograde irregular (Norse),Saturn,...
—,S/2004 S 12,2.5,"1,046.19 (r)",2004,"S., J., K., M.",Retrograde irregular (Norse),Saturn,...
—,S/2004 S 13,3,933.48 (r),2004,"S., J., K., M.",Retrograde irregular (Norse),Saturn,...
—,S/2004 S 17,2,"1,014.70 (r)",2004,"S., J., K., M.",Retrograde irregular (Norse),Saturn,...
—,S/2006 S 1,3,963.37 (r),2006,"S., J., K.",Retrograde irregular (Norse),Saturn,...
